"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","cluster","condition","control"
"GO:0031985","Golgi cisterna","8/134","74/8626",0.108108108108108,6.95925776522791,6.46697442038352,1.75121443123613e-05,0.0191182276457724,0.0187768307235264,"116917596/116918846/116919533/116926306/116927095/116927482/116930219/116932960",8,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0060857","establishment of glial blood-brain barrier","4/134","12/8626",0.333333333333333,21.4577114427861,8.90783566033099,2.50247529015428e-05,0.0191182276457724,0.0187768307235264,"116921478/116925941/116931093/116935344",4,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0034976","response to endoplasmic reticulum stress","11/134","154/8626",0.0714285714285714,4.59808102345416,5.65933345632533,2.56047691684452e-05,0.0191182276457724,0.0187768307235264,"116915413/116917283/116917374/116920231/116922950/116927330/116930210/116930449/116931889/116933229/116934347",11,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0060856","establishment of blood-brain barrier","4/134","14/8626",0.285714285714286,18.3923240938166,8.18081525385102,4.93964357311088e-05,0.0276620040094209,0.0271680396521098,"116921478/116925941/116931093/116935344",4,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0005797","Golgi medial cisterna","5/134","30/8626",0.166666666666667,10.728855721393,6.7050364811084,8.75469385663768e-05,0.0392210284777368,0.0385206529692058,"116917596/116918846/116926306/116930219/116932960",5,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0005795","Golgi stack","8/134","95/8626",0.0842105263157895,5.42089552238806,5.44250756603679,0.000107483904335949,0.040127324285421,0.0394107649231814,"116917596/116918846/116919533/116926306/116927095/116927482/116930219/116932960",8,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0019991","septate junction assembly","5/134","35/8626",0.142857142857143,9.19616204690831,6.10308835389802,0.000187394091783902,0.0599661093708485,0.0588952859892262,"116918481/116921478/116925941/116931093/116935344",5,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0035151","regulation of tube size, open tracheal system","5/134","38/8626",0.131578947368421,8.47014925373134,5.79698288081318,0.000279133170898403,0.0781572878515529,0.0767616219970609,"116917635/116918481/116921478/116925941/116935344",5,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0004602","glutathione peroxidase activity","3/134","10/8626",0.3,19.3119402985075,7.27794010091476,0.000406133317307799,0.0951312430683864,0.0934324708707367,"116918220/116919815/116929316",3,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0009100","glycoprotein metabolic process","10/134","180/8626",0.0555555555555556,3.57628524046434,4.38764637174826,0.000475917106321171,0.0951312430683864,0.0934324708707367,"116915413/116917596/116918984/116920231/116927095/116927453/116927469/116927482/116931889/116932960",10,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"GO:0006486","protein glycosylation","8/134","120/8626",0.0666666666666667,4.29154228855721,4.56093970816887,0.000537211690301649,0.0951312430683864,0.0934324708707367,"116917596/116918984/116927095/116927453/116927469/116927482/116931889/116932960",8,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
