"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","cluster","condition","control"
"ko00515","ko00515","4/134","17/8626",0.235294117647059,15.1466198419666,7.33377781022858,0.000113266343219623,0.0141582929024529,0.0140688721051742,"116927095/116927469/116927482/116931889",4,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00515","Mannose type O-glycan biosynthesis","4/134","17/8626",0.235294117647059,15.1466198419666,7.33377781022858,0.000113266343219623,0.0141582929024529,0.0140688721051742,"116927095/116927469/116927482/116931889",4,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00513","ko00513","5/134","53/8626",0.0943396226415094,6.07293720078851,4.65326694323368,0.00132489833022996,0.0828061456393724,0.0822831594563869,"116917596/116927095/116927482/116932764/116932765",5,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00513","Various types of N-glycan biosynthesis","5/134","53/8626",0.0943396226415094,6.07293720078851,4.65326694323368,0.00132489833022996,0.0828061456393724,0.0822831594563869,"116917596/116927095/116927482/116932764/116932765",5,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00533","ko00533","2/134","10/8626",0.2,12.8746268656716,4.71947929276044,0.00993383972590525,0.413909988579385,0.411295820230463,"116927482/116933043",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00533","Glycosaminoglycan biosynthesis - keratan sulfate","2/134","10/8626",0.2,12.8746268656716,4.71947929276044,0.00993383972590525,0.413909988579385,0.411295820230463,"116927482/116933043",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00532","ko00532","2/134","12/8626",0.166666666666667,10.728855721393,4.23620443428435,0.0142768460672618,0.446151439601932,0.443333641036025,"116933043/116935974",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","2/134","12/8626",0.166666666666667,10.728855721393,4.23620443428435,0.0142768460672618,0.446151439601932,0.443333641036025,"116933043/116935974",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00514","ko00514","2/134","15/8626",0.133333333333333,8.58308457711443,3.69225504939659,0.0220340604109933,0.550851510274833,0.547372448104677,"116927482/116931889",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00514","Other types of O-glycan biosynthesis","2/134","15/8626",0.133333333333333,8.58308457711443,3.69225504939659,0.0220340604109933,0.550851510274833,0.547372448104677,"116927482/116931889",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
