"gene","CTR:provisioned_egg","FLX:provisioned_egg","cluster","condition","control","estimate"
"116915308",-1.04415029565371,-0.278302623351794,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915389",-2.27160573869671,-0.477522389340616,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915401",-2.25813021966469,-0.492333108272686,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915413",-0.146990704296709,0.378294072897615,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915417",-1.75234024750949,-0.299118556716463,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915426",-2.35706031360951,-0.523371023695505,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915442",-1.81322303720125,-0.26575920906555,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915450",-1.57806388456557,0.16844324135664,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915452",-1.94652679579046,-0.699013868052542,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915464",-2.13347796513574,-0.599999401342838,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915497",-1.71658887403412,-0.812880635139461,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915534",-2.0952813808163,-0.352753660186835,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915536",-1.97905777158911,-0.256484383150107,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915537",-2.22520917184316,-0.429781906756669,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915538",-1.5806080260044,-0.189460925403138,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915561",-2.16282401507101,-0.369570728921074,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915566",-2.16590439850119,-1.1381076277717,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915582",-2.07838407137178,-0.635784919299707,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915649",-1.54807099552122,-0.609878465764772,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915666",-1.890491505972,-0.471333455536464,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915686",-1.33347148567113,-0.0890214661288659,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915688",-0.711630837445133,-0.198977484134181,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915689",-1.29116994952165,-0.317510415536114,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915754",-2.03656530692893,0.0577537044403831,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915858",-0.933384025072752,-0.868329509420685,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915861",-0.86439690818633,0.090587518805363,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915862",-1.19451641313454,-0.0151584580738865,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915922",-0.184556002673855,0.208868909384242,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915940",0.0532512426515505,0.143039812138295,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116915949",-2.18882213920299,-0.0879867643801005,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916001",-2.07065880596319,-1.11509497463411,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916036",-1.97610550536721,-0.74403256787043,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916127",-2.00100759994374,-0.865938550422579,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916283",-0.145890470980124,0.544450733230563,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916351",-1.42824590991818,0.0677833484950302,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916355",-0.977233191447719,-0.267117544305285,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916476",-1.79747497935473,-0.358198271727272,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916479",-2.04176818189912,-0.263467603395967,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916521",-1.3025051053102,0.165894691787357,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916526",-1.06848829528941,-0.202230609022372,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916527",-1.70844866965562,-0.84061289918053,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916606",-0.961008787916039,-0.228325434584848,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916722",-0.764003680846921,-0.22654876356768,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916741",-0.810102562637575,-0.0209625282750492,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116916794",-1.67348330421336,-0.375133070013428,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917056",-1.04094121572134,-0.391744372488362,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917256",-1.33850610725287,-0.0194551160548735,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917283",-1.97330135974086,-0.911653634452933,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917316",-0.706460378100646,0.228568763976739,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917374",-0.143472972581017,0.415707246157989,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917384",-1.2786675040442,-0.349338091302174,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917448",-1.77341241619242,-0.446025961129399,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917503",-1.38192388107509,-0.541690503856574,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917561",-1.13559386452112,-0.167774628784835,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917562",-0.180840396436229,0.163850963290369,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917572",-1.30202558748452,-0.599894750346868,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917596",-1.16448517008793,-0.095810262390551,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917635",-0.730269855788048,-0.157608762972892,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917649",-0.743859784175977,-0.723519648376035,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917808",-1.07903794925567,-0.0140065034549555,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917843",-1.47869444263151,-0.764629725265264,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917869",-1.95246056091331,-0.681569460799686,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917920",-1.26170626334322,-0.443112349185027,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116917931",-0.598463669509153,0.179424227296233,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918008",-1.78989465923652,-0.859787969980149,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918009",-1.58082848000617,-0.310405400809137,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918010",-1.4315612062674,-0.537684065515004,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918039",-0.918426608647611,-0.382144466761804,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918147",-1.3006240270117,-0.101121713163072,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918165",0.0878867576525217,0.36959913316278,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918220",-0.712005078916447,-0.0640440777045946,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918368",-1.43204006292242,-0.416611484735484,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918481",-1.70406857677516,-0.712794057607508,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918523",-1.34629325934176,-0.276731278816096,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918524",-1.54663404065404,-0.737236638172548,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918702",-1.3627288466733,-0.273898619163859,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918715",-1.67293695217707,-0.422712781000793,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918759",-0.214539356761466,0.182549926057729,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116918781",-0.264764276217308,0.137501981394279,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
