"gene","CTR:provisioned_egg","TBT:provisioned_egg","cluster","condition","control","estimate"
"116915308",-1.04415029565371,1.32492945986477,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915389",-2.27160573869671,0.979852441330166,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915401",-2.25813021966469,1.06441854769508,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915413",-0.146990704296709,1.71375909478306,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915417",-1.75234024750949,1.09518808648867,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915426",-2.35706031360951,1.00268977020436,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915442",-1.81322303720125,1.31117156233348,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915450",-1.57806388456557,0.831001430544426,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915452",-1.94652679579046,0.973604269125201,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915464",-2.13347796513574,1.04748457994423,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915497",-1.71658887403412,0.546305741471907,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915534",-2.0952813808163,1.14867923387545,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915536",-1.97905777158911,1.11617871910332,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915537",-2.22520917184316,1.03895349533246,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915538",-1.5806080260044,1.21015802210512,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915561",-2.16282401507101,1.01244867799489,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915566",-2.16590439850119,0.53130560335437,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915582",-2.07838407137178,0.109232087353419,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915649",-1.54807099552122,0.937040043115301,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915666",-1.890491505972,1.00711595529598,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915686",-1.33347148567113,0.927610055348835,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915688",-0.711630837445133,1.19362158284944,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915689",-1.29116994952165,1.09214096724315,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915754",-2.03656530692893,1.25349128257062,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915858",-0.933384025072752,-0.0761438647237352,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915861",-0.86439690818633,0.619402904020582,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915862",-1.19451641313454,1.17211649287523,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915922",-0.184556002673855,1.47690607693274,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915940",0.0532512426515505,1.0070789476827,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116915949",-2.18882213920299,1.21606783630203,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916001",-2.07065880596319,0.513854777682148,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916036",-1.97610550536721,0.85550995925259,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916127",-2.00100759994374,0.769916857312649,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916224",-0.278237287422108,1.28055355703787,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916283",-0.145890470980124,1.15037369327379,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916351",-1.42824590991818,1.58421464588015,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916355",-0.977233191447719,0.548778312051345,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916476",-1.79747497935473,1.15090543648796,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916479",-2.04176818189912,1.17177876012732,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916521",-1.3025051053102,1.39461618120264,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916526",-1.06848829528941,1.07828133583387,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916527",-1.70844866965562,0.368461790325792,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916606",-0.961008787916039,0.666087091661011,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916722",-0.764003680846921,-0.542293606337154,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916741",-0.810102562637575,1.29431405473443,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116916794",-1.67348330421336,1.12413926321918,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917056",-1.04094121572134,0.953198078480182,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917256",-1.33850610725287,1.24737147160026,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917283",-1.97330135974086,0.070136515770906,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917316",-0.706460378100646,1.26165474359035,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917374",-0.143472972581017,1.65795729023985,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917384",-1.2786675040442,1.09694649310255,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917448",-1.77341241619242,1.11891198840652,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917503",-1.38192388107509,1.20752041847763,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917561",-1.13559386452112,1.35881134201221,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917562",-0.180840396436229,1.36860526042932,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917572",-1.30202558748452,0.943464901406947,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917596",-1.16448517008793,1.78106267118269,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917635",-0.730269855788048,1.55757795363412,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917649",-0.743859784175977,1.29258006799415,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917808",-1.07903794925567,1.14690547885315,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917843",-1.47869444263151,0.167118594402598,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917869",-1.95246056091331,1.09420287252072,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917920",-1.26170626334322,0.751310958385153,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116917931",-0.598463669509153,1.44035856037243,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116918008",-1.78989465923652,0.662426460120429,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116918009",-1.58082848000617,1.39833429472125,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116918010",-1.4315612062674,1.2771294666513,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116918039",-0.918426608647611,1.3527642066922,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116918147",-1.3006240270117,1.50136101901884,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116918165",0.0878867576525217,1.38886729648043,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116918220",-0.712005078916447,0.423565069716127,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
