"gene","CTR:provisioned_egg","SER:provisioned_egg","cluster","condition","control","estimate"
"116915509",-0.332416567296163,-0.233382221435061,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116916255",-0.652876135064645,-0.0191193294208291,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116917096",-1.09867614246122,-1.04663302003345,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116918898",-0.393720434567653,-0.170479611959912,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116919295",-0.129514734191667,0.347284067453579,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116919939",-0.554322896016468,-0.263381174005608,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116920434",-0.814960786532988,0.432085724309835,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116920590",-2.16569844235216,-0.365300960736927,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116923782",-1.24054724142102,-0.857778637976,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116924244",-1.12436891890653,-0.692526104721793,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116925196",-0.630298546573178,-0.0218930108899335,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116925225",0.117452705407333,0.320374480009224,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116925502",-0.293899367437038,-0.26214350607492,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116926417",-0.646794702468376,-0.363199396143517,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116926465",-0.837507871616032,-0.692920069510932,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116932657",0.27446629749043,0.352601342243545,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116933805",-0.303244993463529,0.178774980369004,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
"116936136",-0.764331220281624,-0.148590450900242,"2","SER:provisioned_egg","CTR:provisioned_egg",-0.760040479000218
