"gene","CTR:unprovisioned_egg","SER:unprovisioned_egg","cluster","condition","control","estimate"
"116915319",-0.103328796547152,0.96193503590879,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915338",-0.887733444500722,0.372985633972499,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915403",-0.498254071763046,0.916952856027268,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915462",-0.405452093444867,0.890265803732027,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915466",-0.657304524370095,0.915771470057445,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915467",-0.601169051368976,0.888293881138276,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915470",-0.467704521090864,0.847642097789612,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915473",-0.53539491818964,0.856708461162165,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915482",-0.553346235624472,0.83124804237356,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915483",-0.63409626113947,0.821373243124457,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915484",-0.607510236990307,0.788336134092189,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915486",-0.607803931763965,0.69211853899359,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915488",-0.764560905159658,0.817762205201257,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915494",-0.53258821404438,0.859728685522784,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915509",-1.00218524388365,0.4749004773753,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915614",-1.20369079413575,-0.318861113229007,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915733",-0.412119513528434,0.999975783749649,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915765",-0.935714957638823,0.500637771629952,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915826",-0.650314946747909,0.869529484453728,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915925",-0.681255358713656,0.402495903365169,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116915934",-0.607058243299264,0.518830450643543,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116916071",-0.213685588003482,0.805435905181727,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116916300",-1.17537107117684,0.897572590016265,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116916347",-0.218007280854994,0.779007733477302,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116916357",-0.116978310493327,0.728274102705403,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116916360",-1.46025721720195,0.246992291918018,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116916770",-0.643605567331682,0.869584384028464,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116917140",0.0472859580680183,0.365221790070012,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116917142",-0.135390907591132,0.134914752583949,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116917149",-0.333859962932806,0.933232107142411,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116917367",0.174700943484398,0.190881891868324,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116917600",-0.434677533913589,1.1820795409153,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116917667",0.250427028732334,0.849966334526227,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116917673",0.498318842030631,0.656837992110328,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116917907",-0.637516322712807,0.609691452138514,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918034",-0.0485083369941205,0.70973863374194,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918261",-0.0321262682321995,0.593831904794204,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918359",-0.0587475765823177,0.388001364318079,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918422",-0.578631443147449,0.784692206686867,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918676",-0.218405658194661,0.835430400198234,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918701",-0.486925871050142,0.706475586471376,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918739",-0.369224937059291,0.511801048647253,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918854",-0.587814280911988,0.790204305701047,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116918898",0.371019549045913,0.513534877022528,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116919295",0.20760379110899,0.822468915476057,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116919386",-0.786248843542988,0.82215231287066,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116919404",-0.515207845127625,0.231367456210379,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116919535",-0.518884893617182,0.727774214425561,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116919705",-1.90001315394428,0.455086314037285,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116919805",-0.979898368849854,0.309553678588264,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116919939",-0.267683537889627,-0.122665948316602,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920209",-0.875003990025736,0.944896128986426,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920434",-0.785150016592081,0.0987491814520789,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920551",-1.01365718973834,0.229162962015667,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920616",-0.443828153412563,0.503219155758203,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920765",-0.371552665595651,0.677704001259389,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116920972",-0.194339617895532,0.286430146889298,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116921247",-0.92341764408831,0.712057579900518,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116921335",-1.89350028043831,-0.113513168811652,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116921336",-0.413517088496742,0.538516228468125,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116921713",-0.580589861894055,0.633767406742506,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116922311",-0.481633548551306,0.378391502475547,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
