"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","cluster","condition","control"
"ko00515","ko00515","3/58","17/8626",0.176470588235294,26.2454361054767,8.57205213792107,0.000183489296401897,0.0110093577841138,0.00811215836724178,"116927095/116927469/116927482",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00515","Mannose type O-glycan biosynthesis","3/58","17/8626",0.176470588235294,26.2454361054767,8.57205213792107,0.000183489296401897,0.0110093577841138,0.00811215836724178,"116927095/116927469/116927482",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00601","ko00601","4/58","55/8626",0.0727272727272727,10.8163009404389,6.00851681811157,0.00048620262682402,0.0145860788047206,0.0107476370140047,"116917596/116922449/116927095/116927482",4,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00601","Glycosphingolipid biosynthesis - lacto and neolacto series","4/58","55/8626",0.0727272727272727,10.8163009404389,6.00851681811157,0.00048620262682402,0.0145860788047206,0.0107476370140047,"116917596/116922449/116927095/116927482",4,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00512","ko00512","3/58","27/8626",0.111111111111111,16.5249042145594,6.64722924530587,0.000752474939750083,0.0150494987950017,0.0110891043752644,"116922449/116927482/116932960",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00512","Mucin type O-glycan biosynthesis","3/58","27/8626",0.111111111111111,16.5249042145594,6.64722924530587,0.000752474939750083,0.0150494987950017,0.0110891043752644,"116922449/116927482/116932960",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00513","ko00513","3/58","53/8626",0.0566037735849057,8.41834743005856,4.45689612050492,0.00532583102325417,0.0798874653488126,0.0588644481517566,"116917596/116927095/116927482",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00513","Various types of N-glycan biosynthesis","3/58","53/8626",0.0566037735849057,8.41834743005856,4.45689612050492,0.00532583102325417,0.0798874653488126,0.0588644481517566,"116917596/116927095/116927482",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00983","ko00983","3/58","72/8626",0.0416666666666667,6.19683908045977,3.64313038116846,0.0123943775769813,0.130208338108097,0.0959429859743874,"116919815/116929316/116930813",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00983","Drug metabolism - other enzymes","3/58","72/8626",0.0416666666666667,6.19683908045977,3.64313038116846,0.0123943775769813,0.130208338108097,0.0959429859743874,"116919815/116929316/116930813",3,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04973","ko04973","2/58","26/8626",0.0769230769230769,11.4403183023873,4.38636742524761,0.0130208338108097,0.130208338108097,0.0959429859743874,"116925717/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map04973","Carbohydrate digestion and absorption","2/58","26/8626",0.0769230769230769,11.4403183023873,4.38636742524761,0.0130208338108097,0.130208338108097,0.0959429859743874,"116925717/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00982","ko00982","2/58","33/8626",0.0606060606060606,9.01358411703239,3.79459284756458,0.0205289382174651,0.131905812006753,0.097193756215502,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00982","Drug metabolism - cytochrome P450","2/58","33/8626",0.0606060606060606,9.01358411703239,3.79459284756458,0.0205289382174651,0.131905812006753,0.097193756215502,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko01524","ko01524","2/58","35/8626",0.0571428571428571,8.49852216748769,3.65714064071812,0.0229370095963624,0.131905812006753,0.097193756215502,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04920","ko04920","2/58","35/8626",0.0571428571428571,8.49852216748769,3.65714064071812,0.0229370095963624,0.131905812006753,0.097193756215502,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map01524","Platinum drug resistance","2/58","35/8626",0.0571428571428571,8.49852216748769,3.65714064071812,0.0229370095963624,0.131905812006753,0.097193756215502,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map04920","Adipocytokine signaling pathway","2/58","35/8626",0.0571428571428571,8.49852216748769,3.65714064071812,0.0229370095963624,0.131905812006753,0.097193756215502,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00052","ko00052","2/58","36/8626",0.0555555555555556,8.26245210727969,3.59245858072828,0.024182732201238,0.131905812006753,0.097193756215502,"116927482/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00980","ko00980","2/58","36/8626",0.0555555555555556,8.26245210727969,3.59245858072828,0.024182732201238,0.131905812006753,0.097193756215502,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00052","Galactose metabolism","2/58","36/8626",0.0555555555555556,8.26245210727969,3.59245858072828,0.024182732201238,0.131905812006753,0.097193756215502,"116927482/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00980","Metabolism of xenobiotics by cytochrome P450","2/58","36/8626",0.0555555555555556,8.26245210727969,3.59245858072828,0.024182732201238,0.131905812006753,0.097193756215502,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko05204","ko05204","2/58","40/8626",0.05,7.43620689655172,3.35674514690617,0.0294339413811979,0.140381052440336,0.103438670219195,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map05204","Chemical carcinogenesis - DNA adducts","2/58","40/8626",0.05,7.43620689655172,3.35674514690617,0.0294339413811979,0.140381052440336,0.103438670219195,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00010","ko00010","2/58","43/8626",0.0465116279069767,6.91740176423416,3.20036526474749,0.033642856358018,0.140381052440336,0.103438670219195,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00010","Glycolysis / Gluconeogenesis","2/58","43/8626",0.0465116279069767,6.91740176423416,3.20036526474749,0.033642856358018,0.140381052440336,0.103438670219195,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00480","ko00480","2/58","44/8626",0.0454545454545455,6.76018808777429,3.15153814180701,0.0350952631100839,0.140381052440336,0.103438670219195,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04922","ko04922","2/58","44/8626",0.0454545454545455,6.76018808777429,3.15153814180701,0.0350952631100839,0.140381052440336,0.103438670219195,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00480","Glutathione metabolism","2/58","44/8626",0.0454545454545455,6.76018808777429,3.15153814180701,0.0350952631100839,0.140381052440336,0.103438670219195,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map04922","Glucagon signaling pathway","2/58","44/8626",0.0454545454545455,6.76018808777429,3.15153814180701,0.0350952631100839,0.140381052440336,0.103438670219195,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04931","ko04931","2/58","48/8626",0.0416666666666667,6.19683908045977,2.97043933076738,0.0411419281446011,0.147674317823811,0.108812655238597,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map04931","Insulin resistance","2/58","48/8626",0.0416666666666667,6.19683908045977,2.97043933076738,0.0411419281446011,0.147674317823811,0.108812655238597,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00510","ko00510","2/58","49/8626",0.0408163265306122,6.07037297677692,2.92835727573308,0.0427109962935568,0.147674317823811,0.108812655238597,"116927453/116927482",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00510","N-Glycan biosynthesis","2/58","49/8626",0.0408163265306122,6.07037297677692,2.92835727573308,0.0427109962935568,0.147674317823811,0.108812655238597,"116927453/116927482",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04068","ko04068","2/58","50/8626",0.04,5.94896551724138,2.88742600498977,0.0443022953471432,0.147674317823811,0.108812655238597,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map04068","FoxO signaling pathway","2/58","50/8626",0.04,5.94896551724138,2.88742600498977,0.0443022953471432,0.147674317823811,0.108812655238597,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04152","ko04152","2/58","57/8626",0.0350877192982456,5.2183908045977,2.62889347085662,0.0560342048737388,0.176950120653912,0.130384299429198,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map04152","AMPK signaling pathway","2/58","57/8626",0.0350877192982456,5.2183908045977,2.62889347085662,0.0560342048737388,0.176950120653912,0.130384299429198,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko05225","ko05225","2/58","59/8626",0.0338983050847458,5.04149620105202,2.56275811279603,0.0595664338566734,0.17869930157002,0.13167316957791,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map05225","Hepatocellular carcinoma","2/58","59/8626",0.0338983050847458,5.04149620105202,2.56275811279603,0.0595664338566734,0.17869930157002,0.13167316957791,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00533","ko00533","1/58","10/8626",0.1,14.8724137931034,3.6112122027213,0.0652732059047356,0.18649487401353,0.137417275588917,"116927482",1,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00533","Glycosaminoglycan biosynthesis - keratan sulfate","1/58","10/8626",0.1,14.8724137931034,3.6112122027213,0.0652732059047356,0.18649487401353,0.137417275588917,"116927482",1,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04910","ko04910","2/58","66/8626",0.0303030303030303,4.5067920585162,2.35287534840541,0.0725049662342464,0.19774081700249,0.145703759896572,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map04910","Insulin signaling pathway","2/58","66/8626",0.0303030303030303,4.5067920585162,2.35287534840541,0.0725049662342464,0.19774081700249,0.145703759896572,"116925370/116935247",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04310","ko04310","2/58","77/8626",0.025974025974026,3.86296462158531,2.07614415558537,0.0944444263373187,0.240802271937464,0.177433253006552,"116916606/116930688",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map04310","Wnt signaling pathway","2/58","77/8626",0.025974025974026,3.86296462158531,2.07614415558537,0.0944444263373187,0.240802271937464,0.177433253006552,"116916606/116930688",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00514","ko00514","1/58","15/8626",0.0666666666666667,9.91494252873563,2.84309389278328,0.0963209087749854,0.240802271937464,0.177433253006552,"116927482",1,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map00514","Other types of O-glycan biosynthesis","1/58","15/8626",0.0666666666666667,9.91494252873563,2.84309389278328,0.0963209087749854,0.240802271937464,0.177433253006552,"116927482",1,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko05418","ko05418","2/58","83/8626",0.0240963855421687,3.58371416701288,1.94595202592865,0.107122936417476,0.250278927435069,0.184416051794262,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"map05418","Fluid shear stress and atherosclerosis","2/58","83/8626",0.0240963855421687,3.58371416701288,1.94595202592865,0.107122936417476,0.250278927435069,0.184416051794262,"116919815/116929316",2,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04064","ko04064","1/58","17/8626",0.0588235294117647,8.74847870182556,2.63098498849899,0.10845420188853,0.250278927435069,0.184416051794262,"116917503",1,"cl2_FLX_provisioned_egg","2","FLX_provisioned_egg","CTR:provisioned_egg"
