"","sig_genes_padj_deseq"
"1","116931889"
"2","116919162"
"3","116934062"
"4","116918261"
"5","116917635"
"6","116920774"
"7","116920817"
"8","116921020"
"9","116934347"
"10","116920274"
"11","116917256"
"12","116922010"
"13","116925753"
"14","116936394"
"15","116916351"
"16","116918010"
"17","116930876"
"18","116918359"
"19","116935113"
"20","116927027"
"21","116931288"
"22","116919483"
"23","116925935"
"24","116925836"
"25","116921031"
"26","116935940"
"27","116920335"
"28","116936531"
"29","116923059"
"30","116935135"
"31","116929291"
"32","116918039"
"33","116927200"
"34","116929340"
"35","116926022"
"36","116920578"
"37","116931772"
"38","116936520"
"39","116930752"
"40","116918701"
"41","116934980"
"42","116926190"
"43","116919772"
"44","116920746"
"45","116929271"
"46","116919239"
"47","116927571"
"48","116936412"
"49","116915450"
"50","116919386"
"51","116919535"
"52","116936425"
"53","116920616"
"54","116915940"
"55","116918853"
"56","116917600"
"57","116920689"
"58","116920551"
"59","116936558"
"60","116915442"
"61","116918739"
"62","116930431"
"63","116921417"
"64","116936535"
"65","116936421"
"66","116915417"
"67","116919939"
"68","116915536"
"69","116916479"
"70","116915389"
"71","116915462"
"72","116915537"
"73","116915401"
"74","116917149"
"75","116915308"
"76","116915470"
"77","116915413"
"78","116915538"
"79","116917869"
"80","116915473"
"81","116917283"
"82","116916364"
"83","116917374"
"84","116915338"
"85","116915733"
"86","116915858"
"87","116917920"
"88","116917649"
"89","116915618"
"90","116916071"
"91","116915826"
"92","116916794"
"93","116917907"
"94","116915484"
"95","116915488"
"96","116915666"
"97","116916300"
"98","116916526"
"99","116915426"
"100","116917316"
"101","116916001"
"102","116915649"
"103","116916127"
"104","116917384"
"105","116915494"
"106","116916036"
"107","116915464"
"108","116915765"
"109","116915534"
"110","116915949"
"111","116916283"
"112","116915861"
"113","116915483"
"114","116915754"
"115","116915689"
"116","116915862"
"117","116917931"
"118","116917561"
"119","116917448"
"120","116915482"
"121","116916360"
"122","116915486"
"123","116916476"
"124","116916606"
"125","116915403"
"126","116918034"
"127","116916347"
"128","116915452"
"129","116916741"
"130","116915922"
"131","116915467"
"132","116915614"
"133","116917367"
"134","116916521"
"135","116915497"
"136","116916527"
"137","116917503"
"138","116917673"
"139","116915561"
"140","116916722"
"141","116915925"
"142","116916224"
"143","116915686"
"144","116917056"
"145","116918008"
"146","116915623"
"147","116915509"
"148","116915466"
"149","116917140"
"150","116915319"
"151","116915582"
"152","116917142"
"153","116917667"
"154","116916770"
"155","116917562"
"156","116917843"
"157","116916255"
"158","116917096"
"159","116917572"
"160","116915566"
"161","116915934"
"162","116915688"
"163","116918009"
"164","116917808"
"165","116916355"
"166","116917596"
"167","116916357"
"168","116919815"
"169","116919245"
"170","116919230"
"171","116919212"
