"","sig_genes_pval_deseq"
"1","24147190"
"2","116935274"
"3","116916396"
"4","116920872"
"5","116920925"
"6","116925808"
"7","116934574"
"8","116935295"
"9","116922817"
"10","116928982"
"11","116920200"
"12","116931574"
"13","116927049"
"14","116935329"
"15","116936512"
"16","116919192"
"17","116932015"
"18","116931889"
"19","116919162"
"20","116916728"
"21","116934062"
"22","116935569"
"23","116919197"
"24","116930313"
"25","116918261"
"26","116923089"
"27","116916776"
"28","116917635"
"29","116920774"
"30","116936108"
"31","116936399"
"32","116920817"
"33","116932339"
"34","116921020"
"35","116935051"
"36","116926869"
"37","116924600"
"38","116919495"
"39","116934486"
"40","116934347"
"41","116931441"
"42","116920147"
"43","116936616"
"44","116931155"
"45","116916489"
"46","116920274"
"47","116916340"
"48","116936410"
"49","116928631"
"50","116926634"
"51","116928833"
"52","116917230"
"53","116917256"
"54","116923912"
"55","116928115"
"56","116917585"
"57","116932352"
"58","116926297"
"59","116922010"
"60","116919702"
"61","116934358"
"62","116925753"
"63","116916672"
"64","116923722"
"65","116928168"
"66","116926500"
"67","116924316"
"68","116936650"
"69","116923859"
"70","116919544"
"71","116936394"
"72","116924588"
"73","116924018"
"74","116916351"
"75","116918010"
"76","116919520"
"77","116934891"
"78","116918933"
"79","116917918"
"80","116936610"
"81","116926909"
"82","116918371"
"83","116929076"
"84","116930252"
"85","116921731"
"86","116930876"
"87","116918359"
"88","116935113"
"89","116915697"
"90","116927661"
"91","116929560"
"92","116927562"
"93","116925128"
"94","116927027"
"95","116931537"
"96","116919341"
"97","116934938"
"98","116918203"
"99","116930946"
"100","116936424"
"101","116916118"
"102","116931288"
"103","116932379"
"104","116934394"
"105","116924011"
"106","116919483"
"107","116925935"
"108","116925836"
"109","116919729"
"110","116925179"
"111","116931524"
"112","116916800"
"113","116920130"
"114","116930517"
"115","116932443"
"116","116927553"
"117","116925390"
"118","116916972"
"119","116926878"
"120","116936259"
"121","116932090"
"122","116923069"
"123","116936515"
"124","116917784"
"125","116924836"
"126","116921031"
"127","116919411"
"128","116932759"
"129","116933752"
"130","116934404"
"131","116917084"
"132","116916456"
"133","116935940"
"134","116928664"
"135","116923177"
"136","116932721"
"137","116930695"
"138","116936396"
"139","116934070"
"140","116918652"
"141","116936585"
"142","116927279"
"143","116931622"
"144","116920335"
"145","116919876"
"146","116927314"
"147","116920163"
"148","116924103"
"149","116936531"
"150","116921838"
"151","116923746"
"152","116930970"
"153","116928497"
"154","116920058"
"155","116917884"
"156","116924845"
"157","116923059"
"158","116935135"
"159","116915988"
"160","116935011"
"161","116929291"
"162","116930296"
"163","116921002"
"164","116933058"
"165","116926859"
"166","116926361"
"167","116936523"
"168","116925387"
"169","116930572"
"170","116918039"
"171","116927200"
"172","116936651"
"173","116931041"
"174","116929340"
"175","116926022"
"176","116923703"
"177","116935709"
"178","116936370"
"179","116936342"
"180","116936507"
"181","116920578"
"182","116936186"
"183","116933186"
"184","116931772"
"185","116936520"
"186","116930752"
"187","116919091"
"188","116919046"
"189","116918701"
"190","116934980"
"191","116929711"
"192","116919712"
"193","116934805"
"194","116931381"
"195","116929264"
"196","116936660"
"197","116936636"
"198","116918663"
"199","116936434"
"200","116935961"
"201","116920841"
"202","116926190"
"203","116917141"
"204","116932521"
"205","116936380"
"206","116926483"
"207","116917346"
"208","116936663"
"209","116919772"
"210","116929328"
"211","116919503"
"212","116926489"
"213","116920746"
"214","116934985"
"215","116933993"
"216","116930841"
"217","116929271"
"218","116919239"
"219","116927571"
"220","116922176"
"221","116934210"
"222","116918574"
"223","116936412"
"224","116919872"
"225","116936609"
"226","116915450"
"227","116919584"
"228","116919386"
"229","116936602"
"230","116917939"
"231","116936528"
"232","116915463"
"233","116930251"
"234","116919535"
"235","116936425"
"236","116929286"
"237","116920050"
"238","116920616"
"239","116917689"
"240","116915940"
"241","116918853"
"242","116928951"
"243","116920188"
"244","116936210"
"245","116929307"
"246","116917600"
"247","116934288"
"248","116925730"
"249","116934917"
"250","116928796"
"251","116934637"
"252","116916815"
"253","116916929"
"254","116920689"
"255","116936683"
"256","116917666"
"257","116931699"
"258","116920551"
"259","116936526"
"260","116936534"
"261","116935285"
"262","116936558"
"263","116929834"
"264","116936678"
"265","116915442"
"266","116918739"
"267","116927946"
"268","116930431"
"269","116920212"
"270","116918509"
"271","116923425"
"272","116929704"
"273","116918985"
"274","116936392"
"275","116923504"
"276","116917072"
"277","116918635"
"278","116935471"
"279","116918860"
"280","116936414"
"281","116936631"
"282","116929738"
"283","116921417"
"284","116931106"
"285","116921715"
"286","116921587"
"287","116929195"
"288","116936516"
"289","116936535"
"290","116936563"
"291","116936271"
"292","116936421"
"293","116917305"
"294","116921010"
"295","116921316"
"296","116915417"
"297","116921638"
"298","116922811"
"299","116934309"
"300","116936050"
"301","116919939"
"302","116920983"
"303","116936125"
"304","116930646"
"305","116936545"
"306","116929168"
"307","116929317"
"308","116926019"
"309","116919898"
"310","116932134"
"311","116924564"
"312","116934854"
"313","116936575"
"314","116928271"
"315","116932929"
"316","116936499"
"317","116932332"
"318","116917586"
"319","116920451"
"320","116917113"
"321","116917255"
"322","116915535"
"323","116917111"
"324","116915536"
"325","116916479"
"326","116915333"
"327","116916097"
"328","116915389"
"329","116915603"
"330","116915462"
"331","116915734"
"332","116915537"
"333","116916112"
"334","116915401"
"335","116917149"
"336","116915385"
"337","116917282"
"338","116916735"
"339","116916346"
"340","116915308"
"341","116917996"
"342","116915470"
"343","116915413"
"344","116915941"
"345","116915538"
"346","116917869"
"347","116915473"
"348","116917408"
"349","116918016"
"350","116916012"
"351","116917206"
"352","116917283"
"353","116917564"
"354","116916872"
"355","116917603"
"356","116916364"
"357","116918056"
"358","116917494"
"359","116916934"
"360","116916612"
"361","116917374"
"362","116915500"
"363","116915338"
"364","116916997"
"365","116915532"
"366","116915733"
"367","116916274"
"368","116916477"
"369","116917122"
"370","116916245"
"371","116915858"
"372","116917920"
"373","116917649"
"374","116915618"
"375","116915769"
"376","116916071"
"377","116915826"
"378","116917013"
"379","116916794"
"380","116916053"
"381","116916767"
"382","116917033"
"383","116916250"
"384","116917907"
"385","116915484"
"386","116916532"
"387","116915814"
"388","116917661"
"389","116916637"
"390","116916404"
"391","116915851"
"392","116915504"
"393","116917062"
"394","116915488"
"395","116916403"
"396","116917831"
"397","116915666"
"398","116916300"
"399","116916028"
"400","116916760"
"401","116916526"
"402","116915693"
"403","116917905"
"404","116916554"
"405","116917228"
"406","116915426"
"407","116915476"
"408","116916272"
"409","116917766"
"410","116917316"
"411","116917723"
"412","116916001"
"413","116915649"
"414","116917507"
"415","116916278"
"416","116916539"
"417","116916127"
"418","116915783"
"419","116917384"
"420","116916450"
"421","116915494"
"422","116916036"
"423","116916674"
"424","116917438"
"425","116915827"
"426","116915464"
"427","116917371"
"428","116917233"
"429","116915765"
"430","116917458"
"431","116915534"
"432","116917651"
"433","116917980"
"434","116915491"
"435","116915949"
"436","116916622"
"437","116916623"
"438","116916283"
"439","116915861"
"440","116936799"
"441","116916676"
"442","116915483"
"443","116917167"
"444","116915328"
"445","116916711"
"446","116916893"
"447","116918007"
"448","116915608"
"449","116915478"
"450","116916519"
"451","116916668"
"452","116917293"
"453","116916301"
"454","116916213"
"455","116916113"
"456","116917926"
"457","116915754"
"458","116917675"
"459","116915607"
"460","116917300"
"461","116915689"
"462","116917634"
"463","116917604"
"464","116915862"
"465","116915972"
"466","116917931"
"467","116917561"
"468","116915390"
"469","116916724"
"470","116917448"
"471","116915690"
"472","116915489"
"473","116915482"
"474","116917150"
"475","116917970"
"476","116915350"
"477","116915451"
"478","116917560"
"479","116916725"
"480","116916522"
"481","116916204"
"482","116915472"
"483","116916360"
"484","116916913"
"485","116915958"
"486","116915486"
"487","116916476"
"488","116916606"
"489","116916727"
"490","116917391"
"491","116915329"
"492","116917280"
"493","116917508"
"494","116915403"
"495","116916373"
"496","116917423"
"497","116915423"
"498","116915399"
"499","116918034"
"500","116915872"
"501","116916399"
"502","116916347"
"503","116915452"
"504","116915784"
"505","116917733"
"506","116915474"
"507","116917838"
"508","116917041"
"509","116916736"
"510","116916891"
"511","116916447"
