"","sig_genes_pval_lmdme"
"1","116915308"
"2","116915313"
"3","116915319"
"4","116915321"
"5","116915327"
"6","116915328"
"7","116915329"
"8","116915331"
"9","116915333"
"10","116915338"
"11","116915339"
"12","116915346"
"13","116915361"
"14","116915367"
"15","116915371"
"16","116915384"
"17","116915389"
"18","116915390"
"19","116915397"
"20","116915399"
"21","116915401"
"22","116915403"
"23","116915413"
"24","116915415"
"25","116915417"
"26","116915426"
"27","116915438"
"28","116915441"
"29","116915442"
"30","116915444"
"31","116915448"
"32","116915449"
"33","116915450"
"34","116915452"
"35","116915462"
"36","116915463"
"37","116915464"
"38","116915469"
"39","116915473"
"40","116915478"
"41","116915480"
"42","116915491"
"43","116915494"
"44","116915495"
"45","116915500"
"46","116915509"
"47","116915517"
"48","116915520"
"49","116915521"
"50","116915525"
"51","116915527"
"52","116915532"
"53","116915534"
"54","116915535"
"55","116915536"
"56","116915537"
"57","116915538"
"58","116915539"
"59","116915541"
"60","116915542"
"61","116915545"
"62","116915551"
"63","116915561"
"64","116915562"
"65","116915566"
"66","116915588"
"67","116915589"
"68","116915607"
"69","116915614"
"70","116915618"
"71","116915625"
"72","116915628"
"73","116915630"
"74","116915631"
"75","116915646"
"76","116915649"
"77","116915653"
"78","116915666"
"79","116915673"
"80","116915680"
"81","116915686"
"82","116915688"
"83","116915689"
"84","116915693"
"85","116915697"
"86","116915702"
"87","116915733"
"88","116915739"
"89","116915741"
"90","116915754"
"91","116915765"
"92","116915784"
"93","116915787"
"94","116915814"
"95","116915826"
"96","116915832"
"97","116915846"
"98","116915856"
"99","116915861"
"100","116915862"
"101","116915866"
"102","116915873"
"103","116915883"
"104","116915885"
"105","116915888"
"106","116915909"
"107","116915912"
"108","116915922"
"109","116915928"
"110","116915933"
"111","116915938"
"112","116915940"
"113","116915943"
"114","116915949"
"115","116915973"
"116","116915979"
"117","116916001"
"118","116916007"
"119","116916016"
"120","116916026"
"121","116916032"
"122","116916036"
"123","116916053"
"124","116916058"
"125","116916071"
"126","116916080"
"127","116916097"
"128","116916100"
"129","116916102"
"130","116916110"
"131","116916112"
"132","116916113"
"133","116916117"
"134","116916118"
"135","116916120"
"136","116916127"
"137","116916162"
"138","116916169"
"139","116916185"
"140","116916189"
"141","116916204"
"142","116916213"
"143","116916214"
"144","116916224"
"145","116916232"
"146","116916234"
"147","116916250"
"148","116916254"
"149","116916255"
"150","116916259"
"151","116916260"
"152","116916272"
"153","116916274"
"154","116916277"
"155","116916278"
"156","116916283"
"157","116916300"
"158","116916321"
"159","116916340"
"160","116916346"
"161","116916347"
"162","116916351"
"163","116916355"
"164","116916357"
"165","116916358"
"166","116916360"
"167","116916370"
"168","116916373"
"169","116916391"
"170","116916397"
"171","116916398"
"172","116916399"
"173","116916401"
"174","116916435"
"175","116916447"
"176","116916476"
"177","116916479"
"178","116916480"
"179","116916484"
"180","116916521"
"181","116916526"
"182","116916532"
"183","116916542"
"184","116916554"
"185","116916560"
"186","116916564"
"187","116916567"
"188","116916580"
"189","116916587"
"190","116916606"
"191","116916630"
"192","116916633"
"193","116916637"
"194","116916669"
"195","116916670"
"196","116916672"
"197","116916673"
"198","116916674"
"199","116916676"
"200","116916682"
"201","116916687"
"202","116916691"
"203","116916692"
"204","116916705"
"205","116916711"
"206","116916719"
"207","116916722"
"208","116916724"
"209","116916727"
"210","116916732"
"211","116916735"
"212","116916736"
"213","116916741"
"214","116916751"
"215","116916760"
"216","116916767"
"217","116916776"
"218","116916783"
"219","116916784"
"220","116916794"
"221","116916800"
"222","116916816"
"223","116916824"
"224","116916886"
"225","116916901"
"226","116916913"
"227","116916924"
"228","116916927"
"229","116916929"
"230","116916934"
"231","116916971"
"232","116916972"
"233","116916979"
"234","116916982"
"235","116916990"
"236","116916996"
"237","116917017"
"238","116917037"
"239","116917038"
"240","116917041"
"241","116917050"
"242","116917056"
"243","116917070"
"244","116917086"
"245","116917087"
"246","116917089"
"247","116917091"
"248","116917096"
"249","116917109"
"250","116917110"
"251","116917111"
"252","116917113"
"253","116917127"
"254","116917140"
"255","116917142"
"256","116917149"
"257","116917150"
"258","116917151"
"259","116917152"
"260","116917158"
"261","116917167"
"262","116917187"
"263","116917195"
"264","116917206"
"265","116917207"
"266","116917228"
"267","116917229"
"268","116917233"
"269","116917240"
"270","116917246"
"271","116917247"
"272","116917249"
"273","116917253"
"274","116917254"
"275","116917256"
"276","116917271"
"277","116917279"
"278","116917283"
"279","116917290"
"280","116917291"
"281","116917293"
"282","116917296"
"283","116917299"
"284","116917300"
"285","116917315"
"286","116917316"
"287","116917325"
"288","116917330"
"289","116917346"
"290","116917355"
"291","116917367"
"292","116917371"
"293","116917372"
"294","116917374"
"295","116917384"
"296","116917391"
"297","116917413"
"298","116917422"
"299","116917423"
"300","116917426"
"301","116917438"
"302","116917448"
"303","116917458"
"304","116917461"
"305","116917467"
"306","116917494"
"307","116917503"
"308","116917506"
"309","116917507"
"310","116917508"
"311","116917520"
"312","116917527"
"313","116917530"
"314","116917540"
"315","116917547"
"316","116917555"
"317","116917561"
"318","116917562"
"319","116917569"
"320","116917572"
"321","116917586"
"322","116917587"
"323","116917589"
"324","116917590"
"325","116917591"
"326","116917596"
"327","116917600"
"328","116917603"
"329","116917635"
"330","116917639"
"331","116917655"
"332","116917666"
"333","116917667"
"334","116917670"
"335","116917673"
"336","116917689"
"337","116917690"
"338","116917694"
"339","116917713"
"340","116917718"
"341","116917719"
"342","116917762"
"343","116917772"
"344","116917773"
"345","116917784"
"346","116917808"
"347","116917809"
"348","116917811"
"349","116917831"
"350","116917859"
"351","116917862"
"352","116917869"
"353","116917878"
"354","116917884"
"355","116917907"
"356","116917908"
"357","116917910"
"358","116917916"
"359","116917920"
"360","116917922"
"361","116917923"
"362","116917928"
"363","116917929"
"364","116917931"
"365","116917939"
"366","116917952"
"367","116917955"
"368","116917980"
"369","116917983"
"370","116917988"
"371","116917990"
"372","116918002"
"373","116918003"
"374","116918008"
"375","116918009"
"376","116918010"
"377","116918016"
"378","116918027"
"379","116918029"
"380","116918032"
"381","116918034"
"382","116918035"
"383","116918039"
"384","116918040"
"385","116918042"
"386","116918045"
"387","116918049"
"388","116918056"
"389","116918133"
"390","116918144"
"391","116918147"
"392","116918155"
"393","116918163"
"394","116918165"
"395","116918168"
"396","116918169"
"397","116918186"
"398","116918191"
"399","116918203"
"400","116918220"
"401","116918228"
"402","116918231"
"403","116918232"
"404","116918237"
"405","116918260"
"406","116918261"
"407","116918294"
"408","116918295"
"409","116918308"
"410","116918309"
"411","116918319"
"412","116918325"
"413","116918337"
"414","116918339"
"415","116918341"
"416","116918357"
"417","116918367"
"418","116918368"
"419","116918377"
"420","116918388"
"421","116918393"
"422","116918397"
"423","116918398"
"424","116918401"
"425","116918420"
"426","116918421"
"427","116918446"
"428","116918448"
"429","116918451"
"430","116918468"
"431","116918474"
"432","116918475"
"433","116918480"
"434","116918481"
"435","116918488"
"436","116918489"
"437","116918501"
"438","116918507"
"439","116918509"
"440","116918523"
"441","116918524"
"442","116918574"
"443","116918614"
"444","116918635"
"445","116918676"
"446","116918680"
"447","116918697"
"448","116918698"
"449","116918702"
"450","116918708"
"451","116918715"
"452","116918728"
"453","116918735"
"454","116918746"
"455","116918754"
"456","116918757"
"457","116918759"
"458","116918761"
"459","116918770"
"460","116918775"
"461","116918781"
"462","116918785"
"463","116918793"
"464","116918818"
"465","116918824"
"466","116918827"
"467","116918846"
"468","116918851"
"469","116918853"
"470","116918854"
"471","116918860"
"472","116918861"
"473","116918873"
"474","116918885"
"475","116918890"
"476","116918898"
"477","116918907"
"478","116918909"
"479","116918911"
"480","116918913"
"481","116918926"
"482","116918929"
"483","116918932"
"484","116918933"
"485","116918934"
"486","116918939"
"487","116918942"
"488","116918943"
"489","116918955"
"490","116918957"
"491","116918968"
"492","116918974"
"493","116918979"
"494","116918984"
"495","116918985"
"496","116918995"
"497","116918996"
"498","116919002"
"499","116919014"
"500","116919020"
"501","116919026"
"502","116919031"
"503","116919032"
"504","116919034"
"505","116919043"
"506","116919044"
"507","116919050"
"508","116919067"
"509","116919073"
"510","116919077"
"511","116919112"
"512","116919123"
"513","116919124"
"514","116919131"
"515","116919134"
"516","116919149"
"517","116919160"
"518","116919162"
"519","116919182"
"520","116919193"
"521","116919206"
"522","116919212"
"523","116919218"
"524","116919227"
"525","116919230"
"526","116919236"
"527","116919237"
"528","116919239"
"529","116919245"
"530","116919246"
"531","116919276"
"532","116919286"
"533","116919294"
"534","116919295"
"535","116919296"
"536","116919341"
"537","116919359"
"538","116919369"
"539","116919373"
"540","116919374"
"541","116919376"
"542","116919379"
"543","116919403"
"544","116919404"
"545","116919411"
"546","116919426"
"547","116919428"
"548","116919430"
"549","116919442"
"550","116919446"
"551","116919461"
"552","116919483"
"553","116919486"
"554","116919490"
"555","116919493"
"556","116919501"
"557","116919507"
"558","116919530"
"559","116919533"
"560","116919544"
"561","116919550"
"562","116919552"
"563","116919554"
"564","116919558"
"565","116919584"
"566","116919617"
"567","116919626"
"568","116919632"
"569","116919640"
"570","116919657"
"571","116919665"
"572","116919683"
"573","116919684"
"574","116919685"
"575","116919694"
"576","116919697"
"577","116919700"
"578","116919705"
"579","116919715"
"580","116919716"
"581","116919745"
"582","116919749"
"583","116919752"
"584","116919761"
"585","116919766"
"586","116919769"
"587","116919770"
"588","116919771"
"589","116919772"
"590","116919793"
"591","116919805"
"592","116919815"
"593","116919847"
"594","116919848"
"595","116919852"
"596","116919870"
"597","116919872"
"598","116919874"
"599","116919879"
"600","116919887"
"601","116919894"
"602","116919902"
"603","116919936"
"604","116919946"
"605","116919948"
"606","116919959"
"607","116919998"
"608","116919999"
"609","116920003"
"610","116920010"
"611","116920011"
"612","116920020"
"613","116920022"
"614","116920049"
"615","116920058"
"616","116920063"
"617","116920074"
"618","116920075"
"619","116920084"
"620","116920116"
"621","116920130"
"622","116920145"
"623","116920151"
"624","116920161"
"625","116920163"
"626","116920184"
"627","116920192"
"628","116920200"
"629","116920201"
"630","116920204"
"631","116920209"
"632","116920227"
"633","116920231"
"634","116920237"
"635","116920240"
"636","116920244"
"637","116920250"
"638","116920274"
"639","116920278"
"640","116920281"
"641","116920282"
"642","116920297"
"643","116920299"
"644","116920300"
"645","116920318"
"646","116920322"
"647","116920330"
"648","116920331"
"649","116920332"
"650","116920335"
"651","116920336"
"652","116920358"
"653","116920366"
"654","116920368"
"655","116920370"
"656","116920393"
"657","116920402"
"658","116920409"
"659","116920411"
"660","116920431"
"661","116920434"
"662","116920461"
"663","116920480"
"664","116920491"
"665","116920523"
"666","116920526"
"667","116920528"
"668","116920532"
"669","116920533"
"670","116920539"
"671","116920540"
"672","116920542"
"673","116920543"
"674","116920546"
"675","116920551"
"676","116920555"
"677","116920557"
"678","116920577"
"679","116920590"
"680","116920596"
"681","116920616"
"682","116920682"
"683","116920688"
"684","116920689"
"685","116920699"
"686","116920703"
"687","116920736"
"688","116920743"
"689","116920746"
"690","116920750"
"691","116920753"
"692","116920754"
"693","116920755"
"694","116920761"
"695","116920772"
"696","116920774"
"697","116920790"
"698","116920817"
"699","116920824"
"700","116920829"
"701","116920833"
"702","116920839"
"703","116920852"
"704","116920867"
"705","116920872"
"706","116920887"
"707","116920893"
"708","116920911"
"709","116920912"
"710","116920919"
"711","116920924"
"712","116920925"
"713","116920928"
"714","116920929"
"715","116920930"
"716","116920931"
"717","116920932"
"718","116920933"
"719","116920937"
"720","116920938"
"721","116920955"
"722","116920956"
"723","116920963"
"724","116920972"
