"cluster","estado","group1","group2","estimate","p.value"
"1","embryo","CTR:embryo","FLX:embryo",0.0635039439372583,0.983392750198431
"1","embryo","CTR:embryo","SER:embryo",0.750862599271897,0.0683941287235865
"1","embryo","CTR:embryo","TBT:embryo",0.310944142696569,0.726027667992401
"2","embryo","CTR:embryo","FLX:embryo",0.425614612759978,0.618757333076086
"2","embryo","CTR:embryo","SER:embryo",-0.114427654691287,0.970448320663223
"2","embryo","CTR:embryo","TBT:embryo",0.620252656564823,0.491268597393394
"1","provisioned_egg","CTR:provisioned_egg","FLX:provisioned_egg",0.947597616245126,0.0139146562957373
"1","provisioned_egg","CTR:provisioned_egg","SER:provisioned_egg",1.47160151031908,0.000212630126349533
"1","provisioned_egg","CTR:provisioned_egg","TBT:provisioned_egg",2.20570079602529,1.78680254370178e-06
"2","provisioned_egg","CTR:provisioned_egg","FLX:provisioned_egg",-0.482533954751582,0.0239271494741098
"2","provisioned_egg","CTR:provisioned_egg","SER:provisioned_egg",-0.760040479000218,0.000452159463747104
"2","provisioned_egg","CTR:provisioned_egg","TBT:provisioned_egg",-1.17563895201097,3.01454411799629e-06
"1","unprovisioned_egg","CTR:unprovisioned_egg","FLX:unprovisioned_egg",-0.792519002743547,0.176323130436999
"1","unprovisioned_egg","CTR:unprovisioned_egg","SER:unprovisioned_egg",-1.14555215313502,0.0327055114762498
"1","unprovisioned_egg","CTR:unprovisioned_egg","TBT:unprovisioned_egg",-1.06910860124706,0.076713285860003
"2","unprovisioned_egg","CTR:unprovisioned_egg","FLX:unprovisioned_egg",0.533051668412949,0.35676526483559
"2","unprovisioned_egg","CTR:unprovisioned_egg","SER:unprovisioned_egg",0.973214916850379,0.038906730914896
"2","unprovisioned_egg","CTR:unprovisioned_egg","TBT:unprovisioned_egg",0.695232585566252,0.232254497121208
