Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_026914.1	1	68	MT	minus	tRNA-Gln		24147196	tRNA				YC34_gt01
NC_026914.1	70	134	MT	plus	tRNA-Met		24147201	tRNA				YC34_gt02
NC_026914.1	135	1121	MT	plus	NADH dehydrogenase subunit 2	ND2	24147202	protein-coding		YP_009133114.1	328	YC34_gp13
NC_026914.1	1120	1183	MT	plus	tRNA-Trp		24147200	tRNA				YC34_gt03
NC_026914.1	1187	1250	MT	minus	tRNA-Cys		24147203	tRNA				YC34_gt04
NC_026914.1	1251	1314	MT	minus	tRNA-Tyr		24147204	tRNA				YC34_gt05
NC_026914.1	1313	2849	MT	plus	cytochrome c oxidase subunit I	COX1	24147205	protein-coding		YP_009133115.1	512	YC34_gp12
NC_026914.1	2850	2917	MT	plus	tRNA-Leu		24147198	tRNA				YC34_gt06
NC_026914.1	2919	3597	MT	plus	cytochrome c oxidase subunit II	COX2	24147206	protein-coding		YP_009133116.1	226	YC34_gp11
NC_026914.1	3598	3667	MT	plus	tRNA-Lys		24147187	tRNA				YC34_gt07
NC_026914.1	3668	3730	MT	plus	tRNA-Asp		24147207	tRNA				YC34_gt08
NC_026914.1	3731	3898	MT	plus	ATP synthase F0 subunit 8	ATP8	24147208	protein-coding		YP_009133117.1	55	YC34_gp10
NC_026914.1	3892	4566	MT	plus	ATP synthase F0 subunit 6	ATP6	24147188	protein-coding		YP_009133118.1	224	YC34_gp09
NC_026914.1	4566	5354	MT	plus	cytochrome c oxidase subunit III	COX3	24147189	protein-coding		YP_009133119.1	262	YC34_gp08
NC_026914.1	5357	5419	MT	plus	tRNA-Gly		24147190	tRNA				YC34_gt09
NC_026914.1	5420	5773	MT	plus	NADH dehydrogenase subunit 3	ND3	24147209	protein-coding		YP_009133120.1	117	YC34_gp07
NC_026914.1	5772	5833	MT	plus	tRNA-Ala		24147191	tRNA				YC34_gt10
NC_026914.1	5834	5897	MT	plus	tRNA-Arg		24147210	tRNA				YC34_gt11
NC_026914.1	5898	5964	MT	plus	tRNA-Asn		24147211	tRNA				YC34_gt12
NC_026914.1	5965	6029	MT	plus	tRNA-Ser		24147212	tRNA				YC34_gt13
NC_026914.1	6030	6094	MT	plus	tRNA-Glu		24147213	tRNA				YC34_gt14
NC_026914.1	6100	6167	MT	minus	tRNA-Phe		24147214	tRNA				YC34_gt15
NC_026914.1	6168	7875	MT	minus	NADH dehydrogenase subunit 5	ND5	24147215	protein-coding		YP_009133121.1	569	YC34_gp06
NC_026914.1	7876	7938	MT	minus	tRNA-His		24147199	tRNA				YC34_gt16
NC_026914.1	7939	9253	MT	minus	NADH dehydrogenase subunit 4	ND4	24147216	protein-coding		YP_009133122.1	438	YC34_gp05
NC_026914.1	9253	9558	MT	minus	NADH dehydrogenase subunit 4L	ND4L	24147192	protein-coding		YP_009133123.1	101	YC34_gp04
NC_026914.1	9561	9623	MT	plus	tRNA-Thr		24147193	tRNA				YC34_gt17
NC_026914.1	9624	9687	MT	minus	tRNA-Pro		24147217	tRNA				YC34_gt18
NC_026914.1	9690	10193	MT	plus	NADH dehydrogenase subunit 6	ND6	24147218	protein-coding		YP_009133124.1	167	YC34_gp03
NC_026914.1	10193	11325	MT	plus	cytochrome b	CYTB	24147194	protein-coding		YP_009133125.1	377	YC34_gp02
NC_026914.1	11325	11393	MT	plus	tRNA-Ser		24147197	tRNA				YC34_gt19
NC_026914.1	11392	12318	MT	minus	NADH dehydrogenase subunit 1	ND1	24147219	protein-coding		YP_009133126.1	308	YC34_gp01
NC_026914.1	12322	12388	MT	minus	tRNA-Leu		24147195	tRNA				YC34_gt20
NC_026914.1	12366	13738	MT	minus	16S ribosomal RNA		24147220	rRNA				YC34_gr02
NC_026914.1	13712	13783	MT	minus	tRNA-Val		24147221	tRNA				YC34_gt21
NC_026914.1	13782	14533	MT	minus	12S ribosomal RNA		24147222	rRNA				YC34_gr01
NC_026914.1	14596	14659	MT	minus	tRNA-Ile		24147223	tRNA				YC34_gt22
NC_059182.1	22559	23285	LG1	minus	uncharacterized LOC123472464, transcript variant X2	LOC123472464	123472464	lncRNA	XR_006646918.1			
NC_059182.1	24099	30534	LG1	plus	uncharacterized LOC116933333, transcript variant X13	LOC116933333	116933333	lncRNA	XR_006643664.1			
NC_059182.1	32510	36505	LG1	minus	uncharacterized LOC116934786, transcript variant X12	LOC116934786	116934786	lncRNA	XR_006647733.1			
